Timestamp,Which age group do you belong to?,What is your employment status?,Which part of the year did you visit USS?,Who did you visit USS with?,What was the main purpose of your visit?,What factors influenced your decision to visit USS? Select all that apply,What concerns did you have before deciding to visit USS?,"On a scale of 1-5, how would you rate your overall experience at USS?",What was the highlight of your visit?,How would you describe USS' brand image before visiting?,How did you first hear about Universal Studios Singapore?,"How easy was it to find relevant information about USS online (ticket pricing, attractions, events, etc.)?",Have you seen any recent advertisements or promotions for USS?,What type of promotions or discounts would encourage you to visit USS?,Did you visit the USS website while planning your trip?,"How easy was it to navigate the USS website to find information about tickets, attractions, and events?","Did the website provide clear and sufficient information about ticket prices, promotions, and park rules?",What features would improve your experience on the USS website? (Select all that apply),Did you use the USS mobile app before your visit?,"If you used the USS app, how would you rate its ease of use?",What USS app features did you find most helpful? (Select all that apply)  ,What feedback/suggestions would you like to provide for USS website/app?,Which ride or attraction was your favourite?,Why this attraction in particular? ,Which ride or attraction have you had bad experiences with (if any)? ,What made your experience with this ride or attraction unpleasant? ,"Did you experience any rides with longer-than-expected wait times? If yes, which ride(s)?",How long did you wait in line for rides on average during your visit?,"Did you feel that overall, the queueing time was worth the experience of the attraction? ", Were the shows and performances engaging and enjoyable?  ,Did you find the price of the general admission ticket reasonable for the experience provided?,Did you purchase the Express Pass?,"If you purchased the Express Pass, how would you rate the value of the Express Pass in relation to the experience it provided?",Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Waiting times],Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Ride variety ],"Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Ride experience (quality, theme, etc.)]","Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Overall park experience (atmosphere, entertainment, etc.)]",Please rank the following factors in terms of how they influenced your opinion on ticket prices  [Customer Service], Did you find a good variety of food options?  ,Were there enough affordable and accessible meal choices?  ,Were there enough kid-friendly meal choices?, How would you rate the food quality and service?  ,Did you stay at a nearby hotel or within Resorts World Sentosa?   ,"If you booked a nearby accommodation, how was the experience? ",Was the accommodation convenient and family-friendly?  ,Have you reached out to USS customer service before your visit?,"If you interacted with USS customer service, how satisfied were you with the response time and assistance?",Were the park staff at USS friendly and helpful? Rate on a scale from 1-5.,"Did you encounter any issues that required assistance, and how were they handled?  ",Would you choose to revisit USS?,"If you answered 'No' or 'Maybe', please explain why. ",What changes or improvements would make your next visit better?  ,Would you recommend USS to others?,Please state your reason for the previous question.
2/16/2025 0:01:49,18 - 24 years old,Student,January - March,Romantic partner,Date/Romantic experience,Special events or themed attractions,Ticket pricing and affordability,2,"Thrilling rides, Shorter queue times and Express Pass benefits",High quality and premium entertainment,Social media,5,"No, I haven't seen any ads","Discounted tickets, Seasonal event promotions, Family/group discounts",No,1,"Somewhat clear, but some details were missing",Not applicable (Did not use the website),"No, I didn't find it necessary",,"Online ticket booking, Interactive park map, Show schedules and ride wait times",,Transformers,Quite thrilling yet not as extreme ,Not applicable,,,Less than 15 minutes,4,3,No,No,,1,5,4,3,2,Yes,Yes,Yes,5,No, NIL,Not applicable,"No, I did not",,5,NIL,No,,Harry Potter theme area,No,Too boring
2/16/2025 0:41:52,18 - 24 years old,Student,October - December,"Friends, Romantic partner",Social gathering,Special events or themed attractions,"Ticket pricing and affordability, Ride wait times and crowd levels",3,Thrilling rides,Fun and family-friendly,Social media,5,"Yes, but they did not influence my decision","Discounted tickets, Seasonal event promotions, Family/group discounts",Yes,2,"Yes, everything was clear","More user-friendly ticket booking process, More accessible customer support (Live Chat, FAQ, etc)","No, I didn't know there was an app",,Not applicable (Did not use the app),-,CYLON,thrilling,Not applicable,-,Transformers,46 to 60 minutes,2,4,Yes,No,,1,4,3,2,5,No,No,Yes,3,No,NIL,Not applicable,"No, I did not",,4,NIL,Maybe,Only for special occasions like Halloween horror nights ,Changing up more of the rides,Yes,It’s still relatively fun if you go with your friends
2/16/2025 6:37:13,18 - 24 years old,Student,Can't recall / Not sure,"Family (adults only), Friends, Colleagues",Social gathering,Reputation as a top theme park in Asia,Ride wait times and crowd levels,5,"Live shows and entertainment, Shopping and merchandise, Overall park atmosphere and theme",Fun and family-friendly,Word of mouth,5,"Yes, but they did not influence my decision",Seasonal event promotions,No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't find it necessary",,Not applicable (Did not use the app),,Revenge of the Mummy,funnnn!! ,"CYCLON, Transformers",scared of heights,Transformers,61 to 90 minutes,5,5,Yes,Yes,5,1,4,3,5,2,Yes,Yes,Yes,5,No,nil,Not applicable,"No, I did not",5,5,nil,Yes,,shorter waiting time,Yes,"it was a great time for me, so i want to recommend this place to people around me so they can experience the same thing as me"
2/16/2025 9:00:38,18 - 24 years old,Student,Can't recall / Not sure,"Friends, Romantic partner",Social gathering,Reputation as a top theme park in Asia,Food options and prices,4,"Thrilling rides, Overall park atmosphere and theme",High quality and premium entertainment,Social media,4,"No, I haven't seen any ads",Discounted tickets,No,3,"Somewhat clear, but some details were missing","Faster loading times, More user-friendly ticket booking process","No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,It was thrilling and indoor,Not applicable,,"HUMAN, CYLON",15 to 30 minutes,3,4,No,No,,2,4,1,3,5,No,No,Yes,3,No,NIL,Not applicable,"No, I did not",,5,NIL,Yes,,Add in more rides and different themes to attract people to visit more,Yes,"it was fun, atmosphere was good and waiting time was reasonable"
2/16/2025 11:42:48,18 - 24 years old,Student,Can't recall / Not sure,Friends,Social gathering,Friends or family recommendations,"Ticket pricing and affordability, Ride wait times and crowd levels, Food options and prices",3,"Thrilling rides, Overall park atmosphere and theme",Fun and family-friendly,Word of mouth,5,"No, I haven't seen any ads","Discounted tickets, Family/group discounts",Yes,2,"Yes, everything was clear",Live updates on crowd levels and wait times,Yes,4,Show schedules and ride wait times,,CYLON,It’s thrilling ,"HUMAN, CYCLON, Transformers, Revenge of the Mummy",Long queue times,"HUMAN, CYLON, Transformers, Canopy Flyer",More than 90 minutes,2,3,No,No,,2,1,3,4,5,No,No,Yes,3,No,NIL,Not applicable,"No, I did not",,4,NIL,Maybe,The cost of the tickets and variety of rides is not very justifiable. The atmosphere also doesn’t match up to other theme parks such as USJ. Everything also looked poorly maintained and old too.,Greater ride variety and an uplift.,Yes,No many choices in sg.
2/16/2025 12:04:06,18 - 24 years old,Student,Can't recall / Not sure,Didn’t go,Didn’t gi,Special events or themed attractions,"Ticket pricing and affordability, Ride wait times and crowd levels",5,Food and dining experience,High quality and premium entertainment,Social media,5,"Yes, but they did not influence my decision",Discounted tickets,No,3,"Yes, everything was clear",Live updates on crowd levels and wait times,"No, I didn't know there was an app",,"Not applicable (Did not use the app), ",,Revenge of the Mummy,Didn’t go,Not applicable,,,31 to 45 minutes,3,4,Yes,Yes,4,5,2,4,3,1,Yes,Yes,,4,No,NOL,Not applicable,"No, I did not",,4,NIL,No,,NA,No,NA
2/16/2025 12:06:20,18 - 24 years old,Student,January - March,Friends,Social gathering,"Reputation as a top theme park in Asia, Friends or family recommendations, Special events or themed attractions","Ticket pricing and affordability, Food options and prices",3,"Thrilling rides, Overall park atmosphere and theme",Fun and family-friendly,Online ads,5,"No, I haven't seen any ads","Discounted tickets, Seasonal event promotions",No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,Revenge of the Mummy,"I love the thrill and the not so extreme rides, combines with slight scare factor",Not applicable,,Transformers,15 to 30 minutes,4,4,No,No,,5,3,1,2,4,Yes,No,,4,No,NIL,Not applicable,"No, I did not",,4,NIL,Yes,,Maybe new rides,Yes,"It was a fun places especially considering if my friends are from SEA region, it has to be the best theme park around the area"
2/16/2025 12:07:05,45 years old and above,Employed,Can't recall / Not sure,Family (including children),Family outing,"Reputation as a top theme park in Asia, Special events or themed attractions",Ride wait times and crowd levels,4,"Thrilling rides, Live shows and entertainment, Shorter queue times and Express Pass benefits",internationally renowned with movie themes,Local Singapore news,5,"No, I haven't seen any ads","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Family/group discounts, Family express Q bundles.",Yes,4,"Yes, everything was clear","Better mobile optimisation, Live updates on crowd levels and wait times","No, I didn't know there was an app",,Online ticket booking,,Transformers,Movie themes are very subjective and caters to the fans of that show.,Not applicable,,,Less than 15 minutes,4,4,Yes,Yes,5,1,5,3,4,2,Yes,Yes,Yes,3,No,nil,Not applicable,"No, I did not",,5,nil,Yes,,"It's been a while since my last visit, maybe a little more online exposure and interaction with the general public could be beneficial to show the latest attractions",Yes,"It is a good theme park and regionally in South East Asia, probably one of the better ones. "
2/16/2025 12:07:44,18 - 24 years old,Student,Can't recall / Not sure,Friends,Social gathering,Reputation as a top theme park in Asia,"Ride wait times and crowd levels, Food options and prices",3,"Thrilling rides, Overall park atmosphere and theme",Fun and family-friendly,Word of mouth,4,"No, I haven't seen any ads","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Seasonal event promotions, Family/group discounts",No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,Transformers,4D was a novel experience,Not applicable,,"HUMAN, CYLON, Revenge of the Mummy",31 to 45 minutes,3,2,No,No,,4,3,1,2,5,No,No,No,3,No,NIL,Not applicable,"No, I did not",,4,NIL,Maybe,No longer think its an interesting destination for gatherings,affordable and more accessible food options,Yes,I would recommend someone go just to experience the rides once  
2/16/2025 12:08:03,45 years old and above,Employed,Can't recall / Not sure,Family (including children),Family outing,"Positive online reviews, Reputation as a top theme park in Asia, Friends or family recommendations, Social media content (Instagram, Youtube, Tiktok, etc), Special events or themed attractions","Ride wait times and crowd levels, Food options and prices",4,"Shopping and merchandise, Overall park atmosphere and theme",Fun and family-friendly,Social media,3,"No, I haven't seen any ads",Family/group discounts,No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,Puss in Boots,Personal interest,Not applicable,Lack of food options,No,15 to 30 minutes,3,4,Yes,Yes,5,1,2,3,5,4,No,No,No,2,No,Nil,Not applicable,"No, I did not",,4,Nil,Maybe,Kid is grown up.,Nil,Yes,Overall experience there was good.
2/16/2025 12:08:54,Below 12 years old,Student,October - December,Friends,Social gathering,"Social media content (Instagram, Youtube, Tiktok, etc), Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Live shows and entertainment, Overall park atmosphere and theme",Exciting and thrilling rides,Social media,5,"Yes, but they did not influence my decision","Bundle deals (hotel + ticket packages etc.), Seasonal event promotions",No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Interactive park map,,Sesame Street Spaghetti Space Chase,idk it's funny and not scary,Revenge of the Mummy,got scared,Transformers,31 to 45 minutes,5,4,Yes,No,,2,3,1,5,4,No,No,Yes,3,Yes,fun,Yes,"No, I did not",,5,Nil,Maybe,scared of heights,more height friendly rides,Yes,fun lah
2/16/2025 12:30:21,45 years old and above,Employed,Can't recall / Not sure,Family (including children),Family outing,Special events or themed attractions,Ride wait times and crowd levels,3,"Live shows and entertainment, Shorter queue times and Express Pass benefits",Exciting and thrilling rides,Online ads,5,"Yes, but they did not influence my decision","Discounted tickets, Seasonal event promotions, Family/group discounts",Yes,3,"Somewhat clear, but some details were missing",Live updates on crowd levels and wait times,"No, I didn't know there was an app",,Not applicable (Did not use the app),,Canopy Flyer,Easy and less stressing to the heart,Revenge of the Mummy,Dive too deep for me,Transformers,61 to 90 minutes,3,4,Yes,No,,4,2,3,1,5,No,No,Yes,3,No,Nil,Not applicable,"No, I did not",,4,Nil,Maybe,Been there multiple times and kids have outgrown too,New rides or themes,Yes,One of main highlights for tourists visit
2/16/2025 12:35:10,18 - 24 years old,Student,Can't recall / Not sure,Friends,Social gathering,"Friends or family recommendations, Special events or themed attractions",Ride wait times and crowd levels,3,"Thrilling rides, Overall park atmosphere and theme",Fun and family-friendly,Word of mouth,4,"No, I haven't seen any ads","Discounted tickets, Bundle deals (hotel + ticket packages etc.), Seasonal event promotions, Family/group discounts",No,,Not applicable (Did not use the website),Live updates on crowd levels and wait times,"No, I didn't know there was an app",,Not applicable (Did not use the app),,CYLON,thrilling most exciting roller coaster,Not applicable,,"HUMAN, CYLON",46 to 60 minutes,4,3,Yes,No,,5,4,3,2,1,No,No,Yes,2,No,nil,Not applicable,"No, I did not",,5,"i dropped my phone at one of the roller coaster rides, they helped me find it when the ride ended for the day and returned it to me quite quickly at the customer counter",Maybe,rides havent change in years getting stale,more new rides,Yes,"alright for first few times esp human and cylon but go more than 4 5 times gets a bit stale with the same rides
keagan is my nibba"
2/16/2025 12:39:26,35 - 44 years old,Employed,Can't recall / Not sure,Family (including children),Family outing,Positive online reviews,Ride wait times and crowd levels,3,Thrilling rides,Fun and family-friendly,Social media,5,"No, I haven't seen any ads",Discounted tickets,Yes,4,"Yes, everything was clear",Live updates on crowd levels and wait times,"No, I didn't know there was an app",,Not applicable (Did not use the app),,Canopy Flyer,Thrilling,Not applicable,,"Sesame Street Spaghetti Space Chase, Canopy Flyer",46 to 60 minutes,2,4,No,No,,1,2,3,4,5,No,No,Yes,3,No,Nil,Not applicable,"No, I did not",,3,Nil,Maybe,,Shorter waiting time,Yes,There isn’t many attractions to choose from in SG. 
2/16/2025 12:41:15,18 - 24 years old,Student,October - December,"Family (including children), Friends, Romantic partner, Colleagues",Social gathering,"Reputation as a top theme park in Asia, Special events or themed attractions","Ticket pricing and affordability, Ride wait times and crowd levels",4,"Thrilling rides, Live shows and entertainment, Overall park atmosphere and theme",Exciting and thrilling rides,Word of mouth,5,Yes and they influenced my decision to visit,"Discounted tickets, Seasonal event promotions",No,,"Somewhat clear, but some details were missing",Live updates on crowd levels and wait times,"No, I didn't know there was an app",,Interactive park map,,CYLON,Thrilling and fun,Canopy Flyer,The turn are direct but not fun,Revenge of the Mummy,61 to 90 minutes,2,3,No,No,,1,4,2,3,5,Yes,No,Yes,3,No,NIL,Not applicable,"No, I did not",,4,NIL,Yes,,Different roller coaster,Yes,The only park in Singapore
2/16/2025 12:43:42,18 - 24 years old,Student,October - December,"Family (adults only), Friends",Social gathering,"Reputation as a top theme park in Asia, Social media content (Instagram, Youtube, Tiktok, etc), Special events or themed attractions","Ride wait times and crowd levels, Food options and prices",4,"Thrilling rides, Live shows and entertainment, Food and dining experience",High quality and premium entertainment,Word of mouth,5,"No, I haven't seen any ads",No offers :(,No,,Not applicable (Did not use the website),Not applicable (Did not use the website),"No, I didn't know there was an app",,Not applicable (Did not use the app),,CYLON,VROOMVROOM 🎢🎢🎢,"Not applicable, Im at peace",,CYLON,31 to 45 minutes,4,1,Yes,No,,4,2,1,3,5,Yes,No,,3,No,no money ,Not applicable,"No, I did not",,4,nil,Yes,,less waitingtime,Yes,vroom vroom🎢🎢
2/16/2025 12:44:20,18 - 24 years old,Student,July - September,"Family (including children), Friends",Family outing,"Friends or family recommendations, Special events or themed attractions",Ride wait times and crowd levels,4,"Thrilling rides, Live shows and entertainment, Food and dining experience, Overall park atmosphere and theme",High quality and premium entertainment,Word of mouth,4,"Yes, but they did not influence my decision","Discounted tickets, Seasonal event promotions, Family/group discounts",Yes,4,"Yes, everything was clear","More user-friendly ticket booking process, Live updates on crowd levels and wait times","No, I didn't find it necessary",,Not applicable (Did not use the app),,Transformers,Liked the fire and other effects,Not applicable,,"HUMAN, CYLON, Transformers, Revenge of the Mummy, Canopy Flyer",46 to 60 minutes,4,5,Yes,No,,2,3,1,4,5,Yes,No,Yes,3,No,NIL,Not applicable,"No, I did not",,5,NIL,Yes,,Lesser waiting time for queues,Yes,Cause it’s fun
