Date,Visitor_ID,Loyalty_Member,Age,Gender,Theme_Zone_Visited,Attraction_Times,Average_Queue_Time,Restaurant_Spending,Merchandise_Spending,Total_Spending
2024-02-27,3f209550-719e-4fa3-be26-24c43d20f970,No,5,Female,"['New York', 'Sci-Fi City', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 13.0, 'Queue_Time': 50.79, 'Check_Out': 14.03}, {'Attraction': 'Transformers: The Ride', 'Check_In': 14.03, 'Queue_Time': 22.75, 'Check_Out': 14.62}, {'Attraction': 'Battlestar Galactica: CYLON', 'Check_In': 14.62, 'Queue_Time': 29.52, 'Check_Out': 15.28}, {'Attraction': 'Battlestar Galactica: HUMAN', 'Check_In': 15.28, 'Queue_Time': 16.46, 'Check_Out': 15.77}, {'Attraction': 'Canopy Flyer', 'Check_In': 15.77, 'Queue_Time': 11.57, 'Check_Out': 16.05}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 16.05, 'Queue_Time': 23.92, 'Check_Out': 16.6}]",25.83,10.94,41.53,52.47
2024-02-17,233613ca-d7b2-4ad6-9667-2130baa50a14,No,38,Male,"['New York', 'Sci-Fi City', 'Ancient Egypt']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 14.0, 'Queue_Time': 21.32, 'Check_Out': 14.47}, {'Attraction': 'Transformers: The Ride', 'Check_In': 14.47, 'Queue_Time': 16.23, 'Check_Out': 14.98}, {'Attraction': 'Battlestar Galactica: CYLON', 'Check_In': 14.98, 'Queue_Time': 13.51, 'Check_Out': 15.29}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 15.29, 'Queue_Time': 19.29, 'Check_Out': 15.81}]",17.59,15.69,0.00,15.69
2024-06-28,c6be6a90-c036-4e9f-95e9-92f8f2fd40e2,No,37,Male,"['Hollywood', 'Sci-Fi City', 'Ancient Egypt', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Battlestar Galactica: CYLON', 'Check_In': 13.0, 'Queue_Time': 68.77, 'Check_Out': 14.29}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 14.29, 'Queue_Time': 26.41, 'Check_Out': 14.92}, {'Attraction': 'Canopy Flyer', 'Check_In': 14.92, 'Queue_Time': 14.13, 'Check_Out': 15.29}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 15.29, 'Queue_Time': 10.78, 'Check_Out': 15.65}]",30.02,13.93,44.31,58.24
2024-04-24,dd3bd69a-6a59-4596-a61b-59c68b5ea05b,No,42,Female,"['Sci-Fi City', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Transformers: The Ride', 'Check_In': 12.0, 'Queue_Time': 76.58, 'Check_Out': 13.38}, {'Attraction': 'Battlestar Galactica: CYLON', 'Check_In': 13.38, 'Queue_Time': 52.5, 'Check_Out': 14.44}, {'Attraction': 'Canopy Flyer', 'Check_In': 14.44, 'Queue_Time': 14.77, 'Check_Out': 14.88}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 14.88, 'Queue_Time': 17.55, 'Check_Out': 15.34}]",40.35,12.34,32.10,44.44
2024-04-09,66200142-2031-4c23-992e-e96879914eb3,No,10,Male,"['New York', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 12.0, 'Queue_Time': 70.12, 'Check_Out': 13.34}, {'Attraction': 'Canopy Flyer', 'Check_In': 13.34, 'Queue_Time': 79.06, 'Check_Out': 14.76}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 14.76, 'Queue_Time': 29.92, 'Check_Out': 15.36}]",59.70,0.00,0.00,0.00
2024-11-26,0661c5c5-8836-4c71-aa40-bdd1b3838888,No,63,Female,"['New York', 'Sci-Fi City', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 14.0, 'Queue_Time': 26.44, 'Check_Out': 14.64}, {'Attraction': 'Transformers: The Ride', 'Check_In': 14.64, 'Queue_Time': 27.61, 'Check_Out': 15.22}, {'Attraction': 'Canopy Flyer', 'Check_In': 15.22, 'Queue_Time': 17.0, 'Check_Out': 15.71}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 15.71, 'Queue_Time': 24.1, 'Check_Out': 16.24}]",23.79,12.61,38.51,51.12
2024-05-05,ad58114f-2aad-462f-b8d8-bd6836cf2f25,No,39,Male,"['Hollywood', 'New York', 'Sci-Fi City', 'The Lost World']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 11.0, 'Queue_Time': 29.26, 'Check_Out': 11.57}, {'Attraction': 'Battlestar Galactica: CYLON', 'Check_In': 11.57, 'Queue_Time': 11.48, 'Check_Out': 11.94}, {'Attraction': 'Transformers: The Ride', 'Check_In': 11.94, 'Queue_Time': 29.39, 'Check_Out': 12.6}, {'Attraction': 'Canopy Flyer', 'Check_In': 12.6, 'Queue_Time': 62.73, 'Check_Out': 13.83}]",33.21,15.41,35.90,51.31
2024-08-11,6e5b86c2-48d7-47d8-b627-b9846650fb91,No,27,Female,"['Hollywood', 'New York', 'Sci-Fi City', 'The Lost World']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 10.0, 'Queue_Time': 19.06, 'Check_Out': 10.41}, {'Attraction': 'Transformers: The Ride', 'Check_In': 10.41, 'Queue_Time': 28.22, 'Check_Out': 11.1}, {'Attraction': 'Canopy Flyer', 'Check_In': 11.1, 'Queue_Time': 18.36, 'Check_Out': 11.64}]",21.88,0.00,30.55,30.55
2024-10-15,1a83739b-de23-4116-a529-2d193e6060b0,No,29,Female,"['Sci-Fi City', 'Ancient Egypt', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Battlestar Galactica: HUMAN', 'Check_In': 9.0, 'Queue_Time': 18.3, 'Check_Out': 9.43}, {'Attraction': 'Battlestar Galactica: CYLON', 'Check_In': 9.43, 'Queue_Time': 11.13, 'Check_Out': 9.85}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 9.85, 'Queue_Time': 28.26, 'Check_Out': 10.5}, {'Attraction': 'Canopy Flyer', 'Check_In': 10.5, 'Queue_Time': 17.56, 'Check_Out': 10.91}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 10.91, 'Queue_Time': 15.49, 'Check_Out': 11.29}]",18.15,0.00,0.00,0.00
2024-02-03,15c702a1-1674-4f25-948e-b8e523dfe811,No,41,Female,"['Hollywood', 'Sci-Fi City', 'Ancient Egypt', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Battlestar Galactica: HUMAN', 'Check_In': 12.0, 'Queue_Time': 75.2, 'Check_Out': 13.37}, {'Attraction': 'Transformers: The Ride', 'Check_In': 13.37, 'Queue_Time': 46.82, 'Check_Out': 14.24}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 14.24, 'Queue_Time': 18.75, 'Check_Out': 14.78}, {'Attraction': 'Canopy Flyer', 'Check_In': 14.78, 'Queue_Time': 25.67, 'Check_Out': 15.36}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 15.36, 'Queue_Time': 28.99, 'Check_Out': 15.95}]",39.09,0.00,0.00,0.00
2024-12-05,dcee7055-98b4-425f-95db-3daa332afaca,No,54,Female,"['Hollywood', 'Sci-Fi City', 'Ancient Egypt']","[{'Attraction': 'Transformers: The Ride', 'Check_In': 11.0, 'Queue_Time': 27.49, 'Check_Out': 11.63}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 11.63, 'Queue_Time': 16.9, 'Check_Out': 12.05}]",22.20,13.29,0.00,13.29
2024-01-12,02be8ea8-c0ac-4175-8da2-c1748bf0aa8f,No,22,Male,"['Hollywood', 'Sci-Fi City', 'Ancient Egypt', 'The Lost World']","[{'Attraction': 'Transformers: The Ride', 'Check_In': 10.0, 'Queue_Time': 15.54, 'Check_Out': 10.48}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 10.48, 'Queue_Time': 20.73, 'Check_Out': 11.06}, {'Attraction': 'Canopy Flyer', 'Check_In': 11.06, 'Queue_Time': 24.41, 'Check_Out': 11.56}]",20.23,10.80,0.00,10.80
2024-08-25,1afb92fa-cee9-4f2d-ae8c-c90d6b5b975a,No,21,Male,"['Hollywood', 'New York', 'Sci-Fi City', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 9.0, 'Queue_Time': 11.78, 'Check_Out': 9.37}, {'Attraction': 'Battlestar Galactica: HUMAN', 'Check_In': 9.37, 'Queue_Time': 22.98, 'Check_Out': 9.92}, {'Attraction': 'Canopy Flyer', 'Check_In': 9.92, 'Queue_Time': 21.15, 'Check_Out': 10.45}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 10.45, 'Queue_Time': 16.75, 'Check_Out': 10.96}]",18.16,0.00,40.46,40.46
2024-08-16,3bd208bd-0c85-4591-b5ee-35487490f007,No,51,Female,"['Sci-Fi City', 'Ancient Egypt', 'Far Far Away']","[{'Attraction': 'Transformers: The Ride', 'Check_In': 12.0, 'Queue_Time': 42.58, 'Check_Out': 12.8}, {'Attraction': 'Battlestar Galactica: HUMAN', 'Check_In': 12.8, 'Queue_Time': 74.85, 'Check_Out': 14.29}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 14.29, 'Queue_Time': 27.31, 'Check_Out': 14.97}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 14.97, 'Queue_Time': 23.37, 'Check_Out': 15.6}]",42.03,13.43,46.16,59.59
2024-11-21,a0df3a02-5d9f-4e21-b870-a5b4bc5360be,No,54,Male,"['Hollywood', 'New York', 'Sci-Fi City', 'The Lost World']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 9.0, 'Queue_Time': 19.62, 'Check_Out': 9.5}, {'Attraction': 'Transformers: The Ride', 'Check_In': 9.5, 'Queue_Time': 20.98, 'Check_Out': 9.97}, {'Attraction': 'Canopy Flyer', 'Check_In': 9.97, 'Queue_Time': 12.78, 'Check_Out': 10.26}]",17.79,12.84,0.00,12.84
2024-04-03,1a968874-ea49-4474-8cad-17d03d1b19a6,No,27,Male,"['New York', 'Sci-Fi City', 'Ancient Egypt', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 9.0, 'Queue_Time': 28.53, 'Check_Out': 9.68}, {'Attraction': 'Battlestar Galactica: HUMAN', 'Check_In': 9.68, 'Queue_Time': 25.99, 'Check_Out': 10.33}, {'Attraction': 'Transformers: The Ride', 'Check_In': 10.33, 'Queue_Time': 13.73, 'Check_Out': 10.68}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 10.68, 'Queue_Time': 23.66, 'Check_Out': 11.24}, {'Attraction': 'Canopy Flyer', 'Check_In': 11.24, 'Queue_Time': 20.8, 'Check_Out': 11.74}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 11.74, 'Queue_Time': 20.64, 'Check_Out': 12.18}]",22.22,13.26,0.00,13.26
2024-03-07,ae7f196e-da24-48d2-b8c4-92fce12a7263,No,34,Female,"['Hollywood', 'New York', 'Ancient Egypt', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 14.0, 'Queue_Time': 14.97, 'Check_Out': 14.46}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 14.46, 'Queue_Time': 19.88, 'Check_Out': 15.0}, {'Attraction': 'Canopy Flyer', 'Check_In': 15.0, 'Queue_Time': 17.58, 'Check_Out': 15.45}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 15.45, 'Queue_Time': 20.8, 'Check_Out': 15.96}]",18.31,14.63,42.57,57.20
2024-10-18,c4841880-39b6-41be-a78c-bb6bf8572f22,No,53,Female,"['Hollywood', 'New York', 'Ancient Egypt', 'The Lost World']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 14.0, 'Queue_Time': 21.72, 'Check_Out': 14.53}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 14.53, 'Queue_Time': 21.86, 'Check_Out': 14.99}, {'Attraction': 'Canopy Flyer', 'Check_In': 14.99, 'Queue_Time': 10.46, 'Check_Out': 15.36}]",18.01,0.00,31.45,31.45
2024-02-20,58f29215-aef2-403c-999f-7a1f7d697198,Yes,45,Male,"['Sci-Fi City', 'Ancient Egypt', 'The Lost World']","[{'Attraction': 'Transformers: The Ride', 'Check_In': 13.0, 'Queue_Time': 55.57, 'Check_Out': 14.05}, {'Attraction': 'Battlestar Galactica: HUMAN', 'Check_In': 14.05, 'Queue_Time': 22.16, 'Check_Out': 14.56}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 14.56, 'Queue_Time': 10.09, 'Check_Out': 14.87}, {'Attraction': 'Canopy Flyer', 'Check_In': 14.87, 'Queue_Time': 28.4, 'Check_Out': 15.48}]",29.06,14.43,0.00,14.43
2024-12-29,b07614cc-2fe4-4296-ac4c-f8fd7641606e,No,6,Male,"['Hollywood', 'New York', 'Ancient Egypt', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 13.0, 'Queue_Time': 48.9, 'Check_Out': 14.06}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 14.06, 'Queue_Time': 20.7, 'Check_Out': 14.52}, {'Attraction': 'Canopy Flyer', 'Check_In': 14.52, 'Queue_Time': 17.95, 'Check_Out': 14.97}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 14.97, 'Queue_Time': 19.36, 'Check_Out': 15.48}]",26.73,15.02,0.00,15.02
2024-09-13,88bcbd6f-fabd-4687-a8ca-a0edabb83957,No,47,Female,"['Hollywood', 'Ancient Egypt', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Revenge of the Mummy', 'Check_In': 14.0, 'Queue_Time': 15.45, 'Check_Out': 14.49}, {'Attraction': 'Canopy Flyer', 'Check_In': 14.49, 'Queue_Time': 29.58, 'Check_Out': 15.21}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 15.21, 'Queue_Time': 21.03, 'Check_Out': 15.68}]",22.02,13.03,0.00,13.03
2024-09-05,087774f8-cdfc-4f79-b28a-badcd0d7e8fc,No,55,Female,"['Hollywood', 'New York', 'Sci-Fi City', 'Ancient Egypt', 'Far Far Away']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 11.0, 'Queue_Time': 14.1, 'Check_Out': 11.37}, {'Attraction': 'Battlestar Galactica: CYLON', 'Check_In': 11.37, 'Queue_Time': 13.63, 'Check_Out': 11.77}, {'Attraction': 'Transformers: The Ride', 'Check_In': 11.77, 'Queue_Time': 18.43, 'Check_Out': 12.31}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 12.31, 'Queue_Time': 81.26, 'Check_Out': 13.81}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 13.81, 'Queue_Time': 57.26, 'Check_Out': 14.98}]",36.94,15.17,50.47,65.64
2024-12-29,641557d9-0ddf-4b6f-8f71-7610b79bcc95,Yes,42,Female,"['Hollywood', 'Ancient Egypt', 'The Lost World']","[{'Attraction': 'Revenge of the Mummy', 'Check_In': 11.0, 'Queue_Time': 29.69, 'Check_Out': 11.67}, {'Attraction': 'Canopy Flyer', 'Check_In': 11.67, 'Queue_Time': 28.29, 'Check_Out': 12.24}]",28.99,11.64,0.00,11.64
2024-06-01,21da2823-359e-4050-9fd5-6fe8dcea6bde,Yes,6,Male,"['Hollywood', 'Sci-Fi City', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Battlestar Galactica: HUMAN', 'Check_In': 9.0, 'Queue_Time': 26.76, 'Check_Out': 9.6}, {'Attraction': 'Battlestar Galactica: CYLON', 'Check_In': 9.6, 'Queue_Time': 25.42, 'Check_Out': 10.17}, {'Attraction': 'Canopy Flyer', 'Check_In': 10.17, 'Queue_Time': 13.69, 'Check_Out': 10.5}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 10.5, 'Queue_Time': 26.74, 'Check_Out': 11.1}]",23.15,0.00,0.00,0.00
2024-08-19,6a9674d4-d96c-4971-a7c4-6378228fea05,No,56,Male,"['Hollywood', 'New York', 'Sci-Fi City', 'Ancient Egypt', 'The Lost World']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 9.0, 'Queue_Time': 26.93, 'Check_Out': 9.69}, {'Attraction': 'Transformers: The Ride', 'Check_In': 9.69, 'Queue_Time': 11.5, 'Check_Out': 10.09}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 10.09, 'Queue_Time': 19.19, 'Check_Out': 10.5}, {'Attraction': 'Canopy Flyer', 'Check_In': 10.5, 'Queue_Time': 29.35, 'Check_Out': 11.08}]",21.74,11.89,0.00,11.89
2024-10-31,36cf88c1-5cc9-4fc6-83df-46c3c53cc60a,Yes,61,Female,"['Sci-Fi City', 'Ancient Egypt', 'The Lost World']","[{'Attraction': 'Battlestar Galactica: CYLON', 'Check_In': 11.0, 'Queue_Time': 14.99, 'Check_Out': 11.41}, {'Attraction': 'Battlestar Galactica: HUMAN', 'Check_In': 11.41, 'Queue_Time': 14.42, 'Check_Out': 11.9}, {'Attraction': 'Transformers: The Ride', 'Check_In': 11.9, 'Queue_Time': 28.88, 'Check_Out': 12.47}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 12.47, 'Queue_Time': 68.4, 'Check_Out': 13.85}, {'Attraction': 'Canopy Flyer', 'Check_In': 13.85, 'Queue_Time': 54.87, 'Check_Out': 15.0}]",36.31,0.00,0.00,0.00
2024-03-22,7ab0c513-e43a-47c8-b868-a5290b62dae1,No,40,Male,"['Hollywood', 'New York', 'Sci-Fi City', 'Ancient Egypt', 'The Lost World']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 9.0, 'Queue_Time': 27.7, 'Check_Out': 9.63}, {'Attraction': 'Battlestar Galactica: HUMAN', 'Check_In': 9.63, 'Queue_Time': 25.81, 'Check_Out': 10.2}, {'Attraction': 'Transformers: The Ride', 'Check_In': 10.2, 'Queue_Time': 22.52, 'Check_Out': 10.81}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 10.81, 'Queue_Time': 10.43, 'Check_Out': 11.21}, {'Attraction': 'Canopy Flyer', 'Check_In': 11.21, 'Queue_Time': 29.96, 'Check_Out': 11.85}]",23.28,0.00,0.00,0.00
2024-09-01,c79bafe2-4382-4897-835b-796b33ea774e,No,27,Female,"['Sci-Fi City', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Battlestar Galactica: CYLON', 'Check_In': 13.0, 'Queue_Time': 54.36, 'Check_Out': 14.04}, {'Attraction': 'Canopy Flyer', 'Check_In': 14.04, 'Queue_Time': 10.36, 'Check_Out': 14.46}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 14.46, 'Queue_Time': 23.59, 'Check_Out': 14.97}]",29.44,0.00,0.00,0.00
2024-07-16,a5414d1a-9f95-4734-9124-e244e110956e,Yes,5,Female,"['Hollywood', 'New York', 'Sci-Fi City', 'Ancient Egypt', 'The Lost World']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 12.0, 'Queue_Time': 51.02, 'Check_Out': 12.96}, {'Attraction': 'Battlestar Galactica: HUMAN', 'Check_In': 12.96, 'Queue_Time': 50.82, 'Check_Out': 13.98}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 13.98, 'Queue_Time': 65.76, 'Check_Out': 15.24}, {'Attraction': 'Canopy Flyer', 'Check_In': 15.24, 'Queue_Time': 19.27, 'Check_Out': 15.75}]",46.72,0.00,48.79,48.79
2024-12-22,0b68645e-0b3e-4e5b-a51e-fa5848b34088,Yes,56,Male,"['New York', 'Ancient Egypt', 'The Lost World', 'Far Far Away']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 11.0, 'Queue_Time': 23.1, 'Check_Out': 11.56}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 11.56, 'Queue_Time': 23.91, 'Check_Out': 12.05}, {'Attraction': 'Canopy Flyer', 'Check_In': 12.05, 'Queue_Time': 45.47, 'Check_Out': 13.04}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 13.04, 'Queue_Time': 84.15, 'Check_Out': 14.61}]",44.16,0.00,0.00,0.00
2024-02-09,e7c66bce-3765-4b20-bbab-92022783ee58,No,24,Female,"['Hollywood', 'New York', 'Ancient Egypt', 'Far Far Away']","[{'Attraction': 'Sesame Street Spaghetti Space Chase', 'Check_In': 12.0, 'Queue_Time': 77.64, 'Check_Out': 13.4}, {'Attraction': 'Revenge of the Mummy', 'Check_In': 13.4, 'Queue_Time': 83.95, 'Check_Out': 14.89}, {'Attraction': ""Puss In Boots' Giant Journey"", 'Check_In': 14.89, 'Queue_Time': 28.17, 'Check_Out': 15.44}]",63.25,14.54,34.06,48.60
